,CASE_NO,DECISION_DATE,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS1,AGENT_ATTORNEY_ADDRESS2,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,AGENT_ATTORNEY_POSTAL_CODE,JOB_TITLE,NBR_WORKERS_CERTIFIED,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,ALIEN_WORK_CITY,ALIEN_WORK_STATE,ORGANIZATION_FLAG
0,C-08248-14685,2008-10-01 14:57:35,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-02-28 00:00:00,2008-11-01 00:00:00,2009-02-28 00:00:00,SCOTTY BAESLER,450 CANEBRAKE DRIVE,,LEXINGTON,KY,40509,"DONNA GRAVES, AGRICULTURE WORKFORCE MANAGEMENT, LL",620 SOUTH BROADWAY,SUITE 209,LEXINGTON,KY,40508,FARM WORKER/FIELD CROP,35.0,9.13,HR,LEXINGTON,KY,S
1,C-08144-09440,2008-10-01 15:10:32,2008-06-02 00:00:00,Certified - Partial,2008-10-15 00:00:00,2009-04-01 00:00:00,2008-10-15 00:00:00,2009-04-01 00:00:00,"GLOBAL AG LABOR, INC.","8315 KEKAHA ROAD, SUITE G",POST OFFICE BOX 874,KEKAHA,HI,96752,LAUREL LOO,"4357 RICE STREET, SUITE 201",,LIHUE,HI,96766,AGRICULTURAL FIELD WORKER,13.0,10.86,HR,KEKAHA,HI,S
2,C-08238-14603,2008-10-01 15:23:23,2008-08-25 00:00:00,Certified - Partial,2008-10-30 00:00:00,2009-06-30 00:00:00,2008-10-30 00:00:00,2009-06-30 00:00:00,NESTOR MORALES,5450 S.W. SHORES AVE,,ARCADIA,FL,34266,TITO ELI GONZALEZ,14 NORTH DESOTO AVE,,ARCADIA,FL,34266,"FARM WORKER, FRUIT II",60.0,8.82,HR,ARCADIA,FL,S
3,C-08189-14148,2008-10-01 15:33:11,2008-07-07 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-31 00:00:00,2008-11-01 00:00:00,2009-08-31 00:00:00,SMITH FARM & LIVESTOCK,9200 WEST 8570 NORTH,,LEHI,UT,84043,JAMES ALCALA,"ALCALA LAW FIRM, PC.",1380 WEST INDIANA AVENUE (850 SOUTH),SALT LAKE CITY,UT,84104,"FARMWORKER, GRAIN II",1.0,9.42,HR,LEHI,UT,S
4,C-08248-14692,2008-10-01 16:04:40,2008-09-03 00:00:00,Certified - Full,2008-10-18 00:00:00,2009-07-01 00:00:00,2008-10-18 00:00:00,2009-07-01 00:00:00,"EVERGLADES HARVESTING AND HAULING, INC.",1331 COMMERCE DRIVE,,LABELLE,FL,33935,WALTER KATES,FLORIDA FRUIT & VEGETABLE ASSOCIATION,"800 TRAFALGER CT., SUITE 200",MAITLAND,FL,32751,"FARWORKER, DIVERSIFIED CROPS",300.0,8.82,HR,LABELLE,FL,S
5,C-08206-14396,2008-10-01 17:54:22,2008-08-19 00:00:00,Certified - Full,2008-10-06 00:00:00,2009-07-10 00:00:00,2008-10-06 00:00:00,2009-07-10 00:00:00,SAMUEL BARAJAS,1375 SE WALSTON AV.,,ARCADIA,FL,34268,ALFREDO GOMEZ,211 N VOLUSIA AVE,,ARCADIA,FL,34266,HARVEST FRUIT WORKER,70.0,8.82,HR,ARCADIA   &  HOLLOPAW,FL,S
6,C-08244-14656,2008-10-02 08:26:26,2008-09-11 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-09-01 00:00:00,2008-11-01 00:00:00,2009-09-01 00:00:00,"LIUZZA PRODUCE FARMS, INC.",POST OFFICE BOX 774,,TICKFAW,LA,70466,"AGWORKS, INC.",408 WEST MARIAN AVE.,,LAKE PARK,GA,31636,"FARMWORKER, DIVERSIFIED CROPS I",72.0,8.41,HR,TICKFAW,LA,S
7,C-08253-14747,2008-10-02 08:39:19,2008-09-09 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-31 00:00:00,2008-11-01 00:00:00,2009-08-31 00:00:00,LITTLE LOBSTER'S INC,347 PARKWAY CIRCLE,,CROWLEY,LA,70526,"KELLY J. COUCH, CONSULTANT",231 PECAN AVE,,NEW ROADS,LA,70760,"FARMWORKER, RICE",8.0,8.41,HR,CROWLEY,LA,S
8,C-08253-14744,2008-10-02 09:38:46,2008-09-09 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-31 00:00:00,2008-11-01 00:00:00,2009-08-31 00:00:00,BRADLEY OR NANCY HANKS,2706 SOUTH FIELDSPAN,,DUSON,LA,70529,"KELLY J. COUCH, CONSULTANT",231 PECAN AVE,,NEW ROADS,LA,70760,GENERAL FARMWORKER,6.0,8.41,HR,DUSON,LA,S
9,C-08246-14668,2008-10-02 09:41:04,2008-09-02 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-06-30 00:00:00,2008-11-01 00:00:00,2009-06-30 00:00:00,KYLE SMITH FARMS,1028 PITRE RD.,,VILLE PLATTE,LA,70586,LINDA WHITE AND ASSOC.,20791 E. RAILROAD AVE.,,LIVINGSTON,LA,70754,FARMWORKER,11.0,8.41,HR,VILLE PLATTE,LA,S
